Combo_ID,Target_1_Pct,Target_2_Pct,Target_3_Pct,Stop_Loss_Pct,Max_Holding_Days,Enable_Trailing_SL,Trailing_SL_Pct,Trail_Trigger,T1_Book_Pct,T2_Book_Pct,T3_Runner_Pct,Allocation_Profile,Total_Trades,Completed_Trades,Wins,Losses,Win_Rate_Pct,Avg_Return_Pct,Profit_Factor,T1_Hit_Count,T1_Hit_Rate_Pct,T2_Hit_Count,T2_Hit_Rate_Pct,T3_Hit_Count,T3_Hit_Rate_Pct,Trail_SL_Hit_Count,SL_Hit_Count,Best_Stock,Worst_Stock,CSV_File
COMBO_0160,4.0,8.0,12.0,3.0,5,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,210,256,44.9,0.42,1.26,167,35.7,36,7.7,34,7.3,159,245,KALYANIFRG (+6.80%),MOREPENLAB (-3.00%),trades_T1_4.0_T2_8.0_T3_12.0_SL_3.0_H5_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0193,3.5,6.0,10.0,2.0,2,False,0.0,None,70.0,30.0,0.0,HeavyT1_70_30,498,468,217,249,46.4,0.41,1.4,146,31.2,55,11.8,49,10.5,17,235,IVC (+4.25%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H2_NoTSL_Q1_70_Q2_30.csv
COMBO_0197,3.5,6.0,10.0,2.0,5,False,0.0,None,70.0,30.0,0.0,HeavyT1_70_30,498,468,213,253,45.5,0.4,1.37,146,31.2,56,12.0,65,13.9,31,253,IVC (+4.25%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H5_NoTSL_Q1_70_Q2_30.csv
COMBO_0199,3.5,6.0,10.0,2.0,7,False,0.0,None,70.0,30.0,0.0,HeavyT1_70_30,498,468,212,254,45.3,0.39,1.36,141,30.1,50,10.7,71,15.2,37,254,IVC (+4.25%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H7_NoTSL_Q1_70_Q2_30.csv
COMBO_0041,2.5,5.0,8.0,2.0,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,253,212,54.1,0.38,1.42,162,34.6,53,11.3,87,18.6,36,210,IVC (+4.35%),IVP (-2.00%),trades_T1_2.5_T2_5.0_T3_8.0_SL_2.0_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0077,3.5,7.0,12.0,2.0,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,213,252,45.5,0.37,1.35,163,34.8,52,11.1,45,9.6,21,248,IVC (+6.25%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_7.0_T3_12.0_SL_2.0_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0001,3.5,6.0,10.0,2.0,2,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,217,249,46.4,0.36,1.35,146,31.2,55,11.8,49,10.5,17,235,KALYANIFRG (+5.55%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H2_NoTSL_Q1_50_Q2_30.csv
COMBO_0010,3.5,6.0,10.0,2.0,3,False,0.0,None,50.0,50.0,0.0,TwoTier_50_50,498,468,213,252,45.5,0.36,1.34,160,34.2,64,13.7,48,10.3,0,248,IVC (+4.75%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H3_NoTSL_Q1_50_Q2_50.csv
COMBO_0045,2.5,5.0,8.0,2.0,5,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,252,214,53.8,0.35,1.39,159,34.0,59,12.6,91,19.4,40,214,IVC (+4.35%),IVP (-2.00%),trades_T1_2.5_T2_5.0_T3_8.0_SL_2.0_H5_NoTSL_Q1_50_Q2_30.csv
COMBO_0002,3.5,6.0,10.0,2.0,2,False,0.0,None,50.0,50.0,0.0,TwoTier_50_50,498,468,217,249,46.4,0.35,1.34,149,31.8,58,12.4,46,9.8,0,235,IVC (+4.75%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H2_NoTSL_Q1_50_Q2_50.csv
